"","Player","Pos","TS.","USG.","player.id","url","G","MP","FT%","ftr.16.17","perc.0.3","perc.3.10","perc.10.16","perc.16.3","perc.3","0.3.perc","3.10.perc","10.16.perc","16.3.perc","3.perc","player.ids.16.17"
"239","Jordan Clarkson","SG",".526","23.3","clarkjo01","https://www.basketball-reference.com/players/c/clarkjo01.html",82,2397,0.798,0.157,".246",".205",".109",".105",".332",".627",".445",".419",".420",".329","clarkjo01"
"240","Jordan Crawford","SG",".582","25.5","crawfjo02","https://www.basketball-reference.com/players/c/crawfjo02.html",19,442,0.769,0.119,".106",".170",".083",".206",".436",".826",".595",".611",".356",".389","crawfjo02"
"241","Jordan Farmar","PG",".500","19.4","farmajo01","https://www.basketball-reference.com/players/f/farmajo01.html",2,35,NA,0,".167",".083",".000",".000",".750",".000",".000","","",".444","farmajo01"
"242","Jordan Hill","C",".432","16.8","hilljo01","https://www.basketball-reference.com/players/h/hilljo01.html",7,47,1,0.154,".385",".231",".154",".231",".000",".600",".000",".000",".667","","hilljo01"
"243","Jordan McRae","SG",".488","20.8","mcraejo01","https://www.basketball-reference.com/players/m/mcraejo01.html",37,384,0.794,0.227,".287",".113",".127",".133",".340",".442",".353",".105",".650",".353","mcraejo01"
"244","Jordan Mickey","PF",".473","15.5","mickejo01","https://www.basketball-reference.com/players/m/mickejo01.html",25,141,0.571,0.412,".676",".147",".000",".147",".029",".522",".200","",".400",".000","mickejo01"
"245","Jose Calderon","PG",".506","14.4","caldejo01","https://www.basketball-reference.com/players/c/caldejo01.html",41,539,0.917,0.09,".142",".022",".090",".269",".478",".737",".000",".333",".472",".313","caldejo01"
"246","Josh Huestis","PF",".612","15.7","huestjo01","https://www.basketball-reference.com/players/h/huestjo01.html",2,31,0,0.091,".364",".091",".000",".182",".364",".750",".000","",".500",".500","huestjo01"
"247","Josh McRoberts","PF",".439","16.9","mcrobjo01","https://www.basketball-reference.com/players/m/mcrobjo01.html",22,381,0.667,0.076,".288",".144",".144",".153",".263",".588",".059",".176",".389",".419","mcrobjo01"
"248","Josh Richardson","SG",".493","16.8","richajo01","https://www.basketball-reference.com/players/r/richajo01.html",53,1614,0.779,0.15,".170",".096",".101",".189",".442",".552",".408",".519",".330",".330","richajo01"
"249","Jrue Holiday","PG",".532","23.5","holidjr01","https://www.basketball-reference.com/players/h/holidjr01.html",67,2190,0.708,0.188,".292",".158",".095",".140",".314",".598",".461",".506",".328",".356","holidjr01"
"250","Juan Hernangomez","PF",".592","14.6","hernaju01","https://www.basketball-reference.com/players/h/hernaju01.html",62,842,0.75,0.339,".353",".098",".018",".031",".504",".595",".318",".000",".143",".407","hernaju01"
"251","Julius Randle","PF",".543","21.4","randlju01","https://www.basketball-reference.com/players/r/randlju01.html",74,2132,0.723,0.365,".437",".334",".062",".085",".082",".651",".368",".500",".318",".270","randlju01"
"252","Justin Anderson","SF",".537","20.9","anderju01","https://www.basketball-reference.com/players/a/anderju01.html",75,1228,0.791,0.294,".319",".128",".057",".050",".442",".707",".339",".280",".136",".299","anderju01"
"253","Justin Hamilton","C",".550","16.2","hamilju01","https://www.basketball-reference.com/players/h/hamilju01.html",64,1177,0.75,0.137,".264",".164",".063",".032",".478",".740",".484",".417",".417",".304","hamilju01"
"254","Justin Harper","PF",".500","22.4","harpeju01","https://www.basketball-reference.com/players/h/harpeju01.html",3,31,NA,0,".083",".167",".083",".083",".583","1.000",".000","1.000","1.000",".286","harpeju01"
"255","Justin Holiday","SG",".549","16.9","holidju01","https://www.basketball-reference.com/players/h/holidju01.html",82,1639,0.825,0.149,".197",".048",".071",".177",".507",".642",".423",".474",".411",".355","holidju01"
"256","Justise Winslow","SF",".399","19.8","winslju01","https://www.basketball-reference.com/players/w/winslju01.html",18,625,0.617,0.209,".320",".258",".062",".204",".156",".472",".379",".214",".304",".200","winslju01"
"257","Jusuf Nurkic","C",".528","23.9","nurkiju01","https://www.basketball-reference.com/players/n/nurkiju01.html",65,1391,0.571,0.393,".612",".285",".015",".084",".002",".578",".428",".250",".333",".000","nurkiju01"
"258","K.J. McDaniels","SF",".555","18.1","mcdankj01","https://www.basketball-reference.com/players/m/mcdankj01.html",49,505,0.842,0.225,".349",".178",".041",".041",".391",".644",".467",".286",".429",".303","mcdankj01"
"259","Karl-Anthony Towns","C",".618","27.5","townska01","https://www.basketball-reference.com/players/t/townska01.html",82,3030,0.832,0.289,".379",".252",".074",".109",".186",".707",".499",".473",".416",".367","townska01"
"260","Kawhi Leonard","SF",".610","31.1","leonaka01","https://www.basketball-reference.com/players/l/leonaka01.html",74,2474,0.88,0.406,".172",".143",".180",".211",".294",".664",".527",".441",".493",".381","leonaka01"
"261","Kay Felder","PG",".462","24.2","feldeka01","https://www.basketball-reference.com/players/f/feldeka01.html",42,386,0.714,0.31,".342",".108",".133",".278",".139",".500",".059",".381",".432",".318","feldeka01"
"262","Kelly Olynyk","C",".603","19.0","olynyke01","https://www.basketball-reference.com/players/o/olynyke01.html",75,1538,0.732,0.242,".368",".110",".065",".083",".378",".754",".429",".364",".357",".354","olynyke01"
"263","Kelly Oubre","SF",".516","14.6","oubreke01","https://www.basketball-reference.com/players/o/oubreke01.html",79,1605,0.758,0.224,".330",".095",".068",".084",".425",".623",".333",".400",".405",".287","oubreke01"
"264","Kemba Walker","PG",".569","29.2","walkeke02","https://www.basketball-reference.com/players/w/walkeke02.html",79,2739,0.847,0.248,".304",".065",".073",".144",".415",".549",".330",".387",".428",".399","walkeke02"
"265","Kenneth Faried","PF",".588","18.3","farieke01","https://www.basketball-reference.com/players/f/farieke01.html",61,1296,0.693,0.454,".639",".281",".038",".026",".014",".654",".393",".438",".091",".000","farieke01"
"266","Kent Bazemore","SF",".504","20.5","bazemke01","https://www.basketball-reference.com/players/b/bazemke01.html",73,1963,0.708,0.233,".272",".100",".062",".198",".369",".566",".222",".311",".434",".346","bazemke01"
"267","Kentavious Caldwell-Pope","SG",".519","19.2","caldwke01","https://www.basketball-reference.com/players/c/caldwke01.html",76,2529,0.832,0.199,".152",".079",".113",".185",".471",".610",".274",".381",".413",".350","caldwke01"
"268","Kevin Durant","SF",".651","27.8","duranke01","https://www.basketball-reference.com/players/d/duranke01.html",62,2070,0.875,0.374,".267",".116",".161",".152",".304",".796",".487",".430",".558",".375","duranke01"
"269","Kevin Love","PF",".573","26.4","loveke01","https://www.basketball-reference.com/players/l/loveke01.html",60,1885,0.871,0.34,".212",".156",".098",".084",".449",".560",".415",".435",".397",".373","loveke01"
"270","Kevin Seraphin","PF",".559","19.0","serapke01","https://www.basketball-reference.com/players/s/serapke01.html",49,559,0.636,0.111,".263",".338",".192",".197",".010",".712",".582",".342",".513",".000","serapke01"
"271","Kevon Looney","C",".553","13.4","looneke01","https://www.basketball-reference.com/players/l/looneke01.html",53,447,0.618,0.318,".701",".121",".037",".056",".084",".680",".231",".000",".000",".222","looneke01"
"272","Khris Middleton","SF",".570","22.5","middlkh01","https://www.basketball-reference.com/players/m/middlkh01.html",29,889,0.88,0.276,".126",".201",".186",".174",".312",".643",".403",".419",".431",".433","middlkh01"
"273","Klay Thompson","SG",".592","26.1","thompkl01","https://www.basketball-reference.com/players/t/thompkl01.html",78,2649,0.853,0.158,".156",".061",".124",".189",".470",".664",".393",".474",".462",".414","thompkl01"
"274","Kosta Koufos","C",".560","15.3","koufoko01","https://www.basketball-reference.com/players/k/koufoko01.html",71,1419,0.613,0.158,".411",".495",".089",".003",".003",".696",".469",".371",".000",".000","koufoko01"
"275","Kris Dunn","PG",".432","14.2","dunnkr01","https://www.basketball-reference.com/players/d/dunnkr01.html",78,1333,0.61,0.188,".240",".150",".083",".294",".233",".507",".426",".269",".348",".288","dunnkr01"
"276","Kris Humphries","PF",".514","17.6","humphkr01","https://www.basketball-reference.com/players/h/humphkr01.html",56,689,0.78,0.383,".374",".079",".168",".131",".252",".538",".059",".333",".429",".352","humphkr01"
"277","Kristaps Porzingis","PF",".546","24.3","porzikr01","https://www.basketball-reference.com/players/p/porzikr01.html",66,2164,0.786,0.256,".207",".162",".196",".116",".319",".701",".338",".482",".360",".357","porzikr01"
"278","Kyle Anderson","SG",".525","12.1","anderky01","https://www.basketball-reference.com/players/a/anderky01.html",72,1020,0.789,0.273,".344",".196",".105",".163",".191",".611",".439",".273",".294",".375","anderky01"
"279","Kyle Korver","SG",".635","15.2","korveky01","https://www.basketball-reference.com/players/k/korveky01.html",67,1753,0.905,0.082,".041",".019",".047",".196",".697",".667",".500",".292",".505",".451","korveky01"
"280","Kyle Lowry","PG",".623","24.9","lowryky01","https://www.basketball-reference.com/players/l/lowryky01.html",60,2244,0.819,0.398,".194",".167",".059",".071",".510",".680",".399",".463",".400",".412","lowryky01"
"281","Kyle O'Quinn","C",".552","18.5","oquinky01","https://www.basketball-reference.com/players/o/oquinky01.html",79,1229,0.771,0.201,".470",".119",".114",".257",".041",".660",".469",".404",".406",".118","oquinky01"
"282","Kyle Singler","SF",".486","11.2","singlky01","https://www.basketball-reference.com/players/s/singlky01.html",32,385,0.765,0.205,".386",".084",".048",".036",".446",".719",".286",".250",".333",".189","singlky01"
"283","Kyle Wiltjer","PF",".437","19.1","wiltjky01","https://www.basketball-reference.com/players/w/wiltjky01.html",14,44,0.5,0.143,".000",".000",".000",".071",".929","","","",".000",".308","wiltjky01"
"284","Kyrie Irving","PG",".580","30.8","irvinky01","https://www.basketball-reference.com/players/i/irvinky01.html",72,2525,0.905,0.231,".264",".123",".159",".144",".311",".603",".362",".469",".485",".401","irvinky01"
"285","Lamar Patterson","SG",".276","22.2","pattela01","https://www.basketball-reference.com/players/p/pattela01.html",5,40,0.667,0.2,".333",".133",".133",".000",".400",".200",".000",".500","",".167","pattela01"
"286","LaMarcus Aldridge","PF",".532","24.5","aldrila01","https://www.basketball-reference.com/players/a/aldrila01.html",72,2335,0.812,0.258,".222",".194",".202",".328",".053",".700",".422",".387",".424",".411","aldrila01"
"287","Lance Stephenson","SG",".485","18.7","stephla01","https://www.basketball-reference.com/players/s/stephla01.html",18,361,0.615,0.108,".250",".133",".150",".300",".167",".733",".438",".222",".417",".300","stephla01"
"288","Lance Thomas","PF",".516","13.1","thomala01","https://www.basketball-reference.com/players/t/thomala01.html",46,968,0.843,0.209,".217",".152",".061",".221",".348",".415",".351",".333",".352",".447","thomala01"
"289","Langston Galloway","PG",".510","18.4","gallola01","https://www.basketball-reference.com/players/g/gallola01.html",74,1495,0.797,0.117,".090",".061",".057",".229",".565",".510",".121",".355",".376",".390","gallola01"
"290","Larry Nance Jr.","PF",".567","13.4","nancela02","https://www.basketball-reference.com/players/n/nancela02.html",63,1442,0.738,0.222,".416",".186",".114",".191",".100",".700",".478",".317",".435",".278","nancela02"
"291","Larry Sanders","C",".410","23.6","sandela01","https://www.basketball-reference.com/players/s/sandela01.html",5,13,1,0.5,".750",".250",".000",".000",".000",".333",".000","","","","sandela01"
"292","Lavoy Allen","PF",".485","10.9","allenla01","https://www.basketball-reference.com/players/a/allenla01.html",61,871,0.697,0.196,".357",".256",".060",".321",".006",".583",".465",".200",".370",".000","allenla01"
"293","Leandro Barbosa","SG",".509","20.0","barbole01","https://www.basketball-reference.com/players/b/barbole01.html",67,963,0.889,0.115,".321",".120",".082",".230",".250",".595",".319",".375",".389",".357","barbole01"
"294","LeBron James","SF",".619","30.0","jamesle01","https://www.basketball-reference.com/players/j/jamesle01.html",74,2794,0.674,0.395,".432",".106",".105",".102",".254",".780",".385",".440",".307",".363","jamesle01"
"295","Lou Williams","SG",".593","29.1","willilo02","https://www.basketball-reference.com/players/w/willilo02.html",81,1994,0.88,0.458,".207",".172",".113",".062",".447",".614",".424",".363",".371",".365","willilo02"
"296","Luc Mbah a Moute","SF",".581","11.6","mbahalu01","https://www.basketball-reference.com/players/m/mbahalu01.html",80,1787,0.678,0.23,".450",".048",".016",".196",".291",".624",".167",".333",".500",".391","mbahalu01"
"297","Lucas Nogueira","C",".682","9.5","noguelu01","https://www.basketball-reference.com/players/n/noguelu01.html",57,1088,0.657,0.429,".776",".103",".013",".032",".077",".760",".375",".000",".400",".250","noguelu01"
"298","Luis Scola","PF",".550","18.7","scolalu01","https://www.basketball-reference.com/players/s/scolalu01.html",36,461,0.676,0.245,".384",".199",".053",".040",".331",".672",".400",".375",".000",".340","scolalu01"
"299","Luke Babbitt","SF",".563","13.0","babbilu01","https://www.basketball-reference.com/players/b/babbilu01.html",68,1065,0.733,0.053,".043",".032",".100",".078",".747",".167",".222",".429",".455",".414","babbilu01"
"300","Luol Deng","SF",".470","14.2","denglu01","https://www.basketball-reference.com/players/d/denglu01.html",56,1486,0.73,0.149,".283",".094",".083",".156",".389",".617",".350",".286",".227",".309","denglu01"
"301","Malachi Richardson","SG",".517","19.3","richama01","https://www.basketball-reference.com/players/r/richama01.html",22,198,0.789,0.279,".118",".103",".074",".294",".412",".750",".286",".400",".500",".286","richama01"
"302","Malcolm Brogdon","SG",".555","18.5","brogdma01","https://www.basketball-reference.com/players/b/brogdma01.html",75,1982,0.865,0.198,".406",".118",".083",".088",".304",".562",".333",".396",".375",".404","brogdma01"
"303","Malcolm Delaney","PG",".456","18.3","delanma01","https://www.basketball-reference.com/players/d/delanma01.html",73,1248,0.806,0.24,".121",".067",".070",".459",".284",".426",".269",".296",".472",".236","delanma01"
"304","Malik Beasley","SG",".536","22.0","beaslma01","https://www.basketball-reference.com/players/b/beaslma01.html",22,165,0.8,0.137,".466",".014",".068",".068",".384",".618",".000",".200",".400",".321","beaslma01"
"305","Manny Harris","SG",".239","35.4","harrima01","https://www.basketball-reference.com/players/h/harrima01.html",4,25,0.5,0.267,".267",".333",".000",".267",".133",".500",".200","",".000",".000","harrima01"
"306","Manu Ginobili","SG",".532","20.4","ginobma01","https://www.basketball-reference.com/players/g/ginobma01.html",69,1291,0.804,0.244,".214",".123",".091",".057",".517",".521",".296",".350",".120",".392","ginobma01"
"307","Marc Gasol","C",".554","26.4","gasolma01","https://www.basketball-reference.com/players/g/gasolma01.html",74,2531,0.837,0.286,".129",".255",".196",".189",".231",".673",".480",".441",".388",".388","gasolma01"
"308","Marcelo Huertas","PG",".417","17.0","huertma01","https://www.basketball-reference.com/players/h/huertma01.html",23,237,0.529,0.25,".132",".279",".279",".029",".279",".667",".316",".474",".000",".211","huertma01"
"309","Marcin Gortat","C",".593","14.7","gortama01","https://www.basketball-reference.com/players/g/gortama01.html",82,2556,0.648,0.236,".522",".312",".141",".022",".003",".702",".486",".368",".400",".000","gortama01"
"310","Marco Belinelli","SG",".566","19.2","belinma01","https://www.basketball-reference.com/players/b/belinma01.html",74,1778,0.893,0.273,".132",".052",".052",".306",".460",".667",".344",".469",".436",".360","belinma01"
"311","Marcus Georges-Hunt","SG",".614","12.3","georgma01","https://www.basketball-reference.com/players/g/georgma01.html",5,48,0.9,1.429,".286",".286",".000",".143",".286",".000",".500","",".000",".500","georgma01"
"312","Marcus Morris","SF",".508","20.3","morrima03","https://www.basketball-reference.com/players/m/morrima03.html",79,2565,0.784,0.184,".113",".086",".192",".255",".355",".623",".356",".430",".459",".331","morrima03"
"313","Marcus Smart","SG",".486","18.8","smartma01","https://www.basketball-reference.com/players/s/smartma01.html",79,2399,0.812,0.334,".224",".179",".077",".076",".443",".488",".396",".362",".333",".283","smartma01"
"314","Marcus Thornton","SG",".494","18.7","thornma01","https://www.basketball-reference.com/players/t/thornma01.html",33,575,0.852,0.129,".214",".171",".071",".162",".381",".600",".333",".467",".294",".350","thornma01"
"315","Mario Hezonja","SF",".450","18.8","hezonma01","https://www.basketball-reference.com/players/h/hezonma01.html",65,960,0.8,0.152,".182",".097",".042",".242",".436",".517",".375",".357",".325",".299","hezonma01"
"316","Markieff Morris","PF",".540","20.5","morrima02","https://www.basketball-reference.com/players/m/morrima02.html",76,2374,0.837,0.242,".287",".181",".154",".157",".220",".612",".422",".401",".400",".362","morrima02"
"317","Marquese Chriss","PF",".529","19.7","chrisma01","https://www.basketball-reference.com/players/c/chrisma01.html",82,1743,0.624,0.286,".411",".111",".046",".076",".354",".615",".386",".310",".333",".321","chrisma01"
"318","Marreese Speights","C",".584","23.6","speigma01","https://www.basketball-reference.com/players/s/speigma01.html",82,1286,0.876,0.25,".245",".126",".055",".068",".505",".634",".420",".333",".459",".372","speigma01"
"319","Marshall Plumlee","C",".521","12.8","plumlma02","https://www.basketball-reference.com/players/p/plumlma02.html",21,170,0.421,0.633,".633",".233",".000",".100",".000",".684",".286","",".333","","plumlma02"
"320","Marvin Williams","PF",".551","16.3","willima02","https://www.basketball-reference.com/players/w/willima02.html",76,2295,0.873,0.213,".230",".143",".070",".055",".503",".611",".416",".367",".359",".350","willima02"
"321","Mason Plumlee","C",".558","18.1","plumlma01","https://www.basketball-reference.com/players/p/plumlma01.html",81,2148,0.58,0.482,".624",".197",".080",".090",".010",".656",".398",".320",".250",".000","plumlma01"
"322","Matt Barnes","SF",".514","15.6","barnema02","https://www.basketball-reference.com/players/b/barnema02.html",74,1777,0.787,0.188,".220",".114",".032",".080",".556",".577",".389",".133",".395",".331","barnema02"
"323","Matthew Dellavedova","PG",".501","16.3","dellama01","https://www.basketball-reference.com/players/d/dellama01.html",76,1986,0.854,0.18,".150",".266",".101",".077",".403",".400",".430",".389",".366",".367","dellama01"
"324","Maurice Harkless","SF",".570","15.2","harklma01","https://www.basketball-reference.com/players/h/harklma01.html",77,2223,0.621,0.199,".522",".112",".014",".042",".311",".613",".457",".444",".385",".351","harklma01"
"325","Maurice Ndour","PF",".503","14.3","ndourma01","https://www.basketball-reference.com/players/n/ndourma01.html",32,331,0.731,0.302,".384",".163",".198",".151",".081",".727",".286",".353",".308",".143","ndourma01"
"326","Metta World Peace","SF",".380","21.9","artesro01","https://www.basketball-reference.com/players/a/artesro01.html",25,160,0.625,0.235,".132",".059",".059",".191",".559",".444",".500",".500",".154",".237","artesro01"
"327","Meyers Leonard","PF",".507","15.5","leoname01","https://www.basketball-reference.com/players/l/leoname01.html",74,1222,0.875,0.106,".090",".103",".085",".159",".563",".706",".385",".313",".383",".347","leoname01"
"328","Michael Beasley","PF",".584","25.3","beaslmi01","https://www.basketball-reference.com/players/b/beaslmi01.html",56,935,0.743,0.259,".303",".246",".167",".175",".106",".699",".490",".456",".451",".419","beaslmi01"
"329","Michael Carter-Williams","PG",".437","20.9","cartemi01","https://www.basketball-reference.com/players/c/cartemi01.html",45,846,0.753,0.252,".265",".294",".144",".088",".209",".519",".378",".295",".296",".234","cartemi01"
"330","Michael Gbinije","SG",".184","15.0","gbinimi01","https://www.basketball-reference.com/players/g/gbinimi01.html",9,32,1,0.2,".400",".000",".000",".200",".400",".250","","",".000",".000","gbinimi01"
"331","Michael Kidd-Gilchrist","SF",".528","14.6","kiddgmi01","https://www.basketball-reference.com/players/k/kiddgmi01.html",81,2349,0.784,0.314,".474",".129",".121",".259",".015",".621",".263",".467",".350",".111","kiddgmi01"
"332","Mike Conley","PG",".604","26.3","conlemi01","https://www.basketball-reference.com/players/c/conlemi01.html",69,2292,0.859,0.365,".199",".135",".083",".167",".415",".607",".471",".405",".432",".408","conlemi01"
"333","Mike Dunleavy","SF",".573","14.0","dunlemi02","https://www.basketball-reference.com/players/d/dunlemi02.html",53,841,0.8,0.205,".209",".032",".027",".123",".609",".652",".000",".333",".296",".396","dunlemi02"
"334","Mike Miller","SF",".586","10.4","millemi01","https://www.basketball-reference.com/players/m/millemi01.html",20,151,1,0.087,".000",".087",".000",".043",".870","",".500","",".000",".400","millemi01"
"335","Mike Muscala","C",".596","14.8","muscami01","https://www.basketball-reference.com/players/m/muscami01.html",70,1237,0.766,0.19,".291",".077",".131",".175",".326",".684",".423",".477",".424",".418","muscami01"
"336","Mike Scott","PF",".360","15.8","scottmi01","https://www.basketball-reference.com/players/s/scottmi01.html",18,195,0.875,0.136,".119",".169",".169",".068",".458",".571",".400",".300",".500",".148","scottmi01"
"337","Mike Tobey","C",".250","9.0","tobeymi01","https://www.basketball-reference.com/players/t/tobeymi01.html",2,25,NA,0,".750",".000",".000",".250",".000",".333","","",".000","","tobeymi01"
"338","Miles Plumlee","C",".518","13.1","plumlmi01","https://www.basketball-reference.com/players/p/plumlmi01.html",45,484,0.641,0.424,".598",".348",".054",".000",".000",".564",".375",".200","","","plumlmi01"
"339","Mindaugas Kuzminskas","SF",".533","19.2","kuzmimi01","https://www.basketball-reference.com/players/k/kuzmimi01.html",68,1016,0.809,0.184,".371",".138",".014",".019",".455",".599",".373",".200",".286",".321","kuzmimi01"
"340","Mirza Teletovic","PF",".515","19.1","teletmi01","https://www.basketball-reference.com/players/t/teletmi01.html",70,1133,0.778,0.108,".115",".055",".045",".055",".730",".542",".435",".316",".435",".341","teletmi01"
"341","Monta Ellis","SG",".514","16.8","ellismo01","https://www.basketball-reference.com/players/e/ellismo01.html",74,1998,0.727,0.23,".262",".151",".086",".259",".242",".616",".500",".417",".361",".319","ellismo01"
"342","Montrezl Harrell","C",".662","17.6","harremo01","https://www.basketball-reference.com/players/h/harremo01.html",58,1064,0.628,0.351,".687",".197",".032",".064",".020",".751",".515",".091",".455",".143","harremo01"
"343","Myles Turner","C",".585","19.5","turnemy01","https://www.basketball-reference.com/players/t/turnemy01.html",81,2541,0.809,0.349,".295",".150",".122",".300",".132",".715",".469",".453",".429",".348","turnemy01"
"344","Nemanja Bjelica","PF",".526","16.4","bjeline01","https://www.basketball-reference.com/players/b/bjeline01.html",65,1190,0.738,0.171,".264",".177",".034",".028",".497",".638",".444",".250",".400",".316","bjeline01"
"345","Nene Hilario","C",".630","19.7","hilarne01","https://www.basketball-reference.com/players/h/hilarne01.html",67,1198,0.589,0.496,".637",".126",".083",".131",".023",".723",".500",".364",".423",".333","hilarne01"
"346","Nerlens Noel","C",".622","17.6","noelne01","https://www.basketball-reference.com/players/n/noelne01.html",51,1047,0.694,0.359,".625",".162",".094",".120",".003",".710",".520",".241",".378",".000","noelne01"
"347","Nick Collison","PF",".622","10.1","collini01","https://www.basketball-reference.com/players/c/collini01.html",20,128,0.625,0.348,".565",".304",".043",".043",".043",".769",".429",".000","1.000",".000","collini01"
"348","Nick Young","SG",".588","19.5","youngni01","https://www.basketball-reference.com/players/y/youngni01.html",60,1556,0.856,0.142,".082",".030",".073",".150",".665",".673",".316",".413",".442",".404","youngni01"
"349","Nicolas Batum","SG",".529","22.3","batumni01","https://www.basketball-reference.com/players/b/batumni01.html",77,2617,0.856,0.291,".117",".102",".182",".185",".415",".640",".384",".435",".389",".333","batumni01"
"350","Nicolas Brussino","SF",".498","16.0","brussni01","https://www.basketball-reference.com/players/b/brussni01.html",54,521,0.773,0.156,".085",".064",".028",".149",".674",".750",".556",".250",".381",".305","brussni01"
"351","Nicolas Laprovittola","PG",".579","18.2","laproni01","https://www.basketball-reference.com/players/l/laproni01.html",18,174,1,0.191,".277",".085",".021",".064",".574",".538",".250","1.000",".333",".370","laproni01"
"352","Nik Stauskas","SG",".540","16.4","stausni01","https://www.basketball-reference.com/players/s/stausni01.html",80,2188,0.813,0.237,".241",".062",".057",".073",".566",".536",".205",".472",".261",".368","stausni01"
"353","Nikola Jokic","C",".640","23.5","jokicni01","https://www.basketball-reference.com/players/j/jokicni01.html",73,2038,0.825,0.267,".349",".293",".097",".102",".163",".674",".624",".530",".552",".324","jokicni01"
"354","Nikola Mirotic","PF",".546","19.8","mirotni01","https://www.basketball-reference.com/players/m/mirotni01.html",70,1679,0.773,0.205,".206",".070",".059",".059",".603",".643",".409",".459",".297",".342","mirotni01"
"355","Nikola Vucevic","C",".498","24.8","vucevni01","https://www.basketball-reference.com/players/v/vucevni01.html",75,2163,0.669,0.155,".215",".256",".193",".264",".073",".608",".485",".417",".419",".307","vucevni01"
"356","Noah Vonleh","PF",".525","13.1","vonleno01","https://www.basketball-reference.com/players/v/vonleno01.html",74,1265,0.638,0.348,".515",".211",".033",".167",".074",".561",".386",".222",".467",".350","vonleno01"
"357","Norman Powell","SG",".552","21.1","powelno01","https://www.basketball-reference.com/players/p/powelno01.html",76,1368,0.792,0.314,".411",".128",".030",".091",".342",".606",".354",".200",".413",".324","powelno01"
"358","Norris Cole","PG",".381","21.5","coleno01","https://www.basketball-reference.com/players/c/coleno01.html",13,125,0.8,0.192,".173",".154",".135",".288",".250",".333",".375",".286",".333",".231","coleno01"
"359","Okaro White","PF",".507","10.8","whiteok01","https://www.basketball-reference.com/players/w/whiteok01.html",35,471,0.909,0.253,".322",".126",".080",".080",".391",".500",".182",".571",".143",".353","whiteok01"
"360","Omer Asik","C",".517","8.8","asikom01","https://www.basketball-reference.com/players/a/asikom01.html",31,482,0.59,0.6,".892",".092",".000",".000",".000",".517",".000","","","","asikom01"
"361","Omri Casspi","SF",".526","14.4","casspom01","https://www.basketball-reference.com/players/c/casspom01.html",36,643,0.586,0.177,".430",".285",".018",".006",".261",".620",".383",".000",".000",".349","casspom01"
"362","Otto Porter","SF",".628","15.1","porteot01","https://www.basketball-reference.com/players/p/porteot01.html",80,2605,0.832,0.148,".197",".100",".090",".189",".425",".709",".513",".500",".507",".434","porteot01"
"363","P.J. Tucker","SF",".516","11.2","tuckepj01","https://www.basketball-reference.com/players/t/tuckepj01.html",81,2236,0.774,0.193,".299",".160",".071",".062",".407",".507",".377",".412",".433",".357","tuckepj01"
"364","Pascal Siakam","PF",".523","13.1","siakapa01","https://www.basketball-reference.com/players/s/siakapa01.html",55,859,0.688,0.156,".463",".249",".112",".141",".034",".600",".490",".304",".448",".143","siakapa01"
"365","Pat Connaughton","SG",".645","13.0","connapa01","https://www.basketball-reference.com/players/c/connapa01.html",39,316,0.778,0.125,".375",".056",".014",".097",".458",".667",".250",".000",".143",".515","connapa01"
"366","Patricio Garino","SG",".000","10.2","garinpa01","https://www.basketball-reference.com/players/g/garinpa01.html",5,43,NA,0,".000",".000",".000",".286",".714","","","",".000",".000","garinpa01"
"367","Patrick Beverley","SG",".546","14.1","beverpa01","https://www.basketball-reference.com/players/b/beverpa01.html",67,2058,0.768,0.175,".210",".173",".055",".033",".530",".544",".436",".367",".222",".382","beverpa01"
"368","Patrick McCaw","SG",".540","11.9","mccawpa01","https://www.basketball-reference.com/players/m/mccawpa01.html",71,1074,0.784,0.151,".290",".078",".057",".073",".502",".690",".421",".286",".222",".333","mccawpa01"
"369","Patrick Patterson","PF",".542","12.5","pattepa01","https://www.basketball-reference.com/players/p/pattepa01.html",65,1599,0.717,0.156,".128",".112",".070",".031",".659",".551",".419",".444",".250",".372","pattepa01"
"370","Patty Mills","PG",".578","19.5","millspa02","https://www.basketball-reference.com/players/m/millspa02.html",80,1754,0.825,0.129,".148",".027",".027",".230",".572",".641",".294",".412",".385",".413","millspa02"
"371","Pau Gasol","C",".578","21.3","gasolpa01","https://www.basketball-reference.com/players/g/gasolpa01.html",64,1627,0.707,0.305,".232",".260",".109",".227",".172",".614",".452",".364",".482",".538","gasolpa01"
"372","Paul George","SF",".587","28.9","georgpa01","https://www.basketball-reference.com/players/g/georgpa01.html",75,2689,0.898,0.277,".130",".099",".121",".283",".368",".625",".489",".411",".484",".393","georgpa01"
"373","Paul Millsap","PF",".542","24.4","millspa01","https://www.basketball-reference.com/players/m/millspa01.html",69,2343,0.768,0.417,".254",".216",".184",".098",".248",".611",".395",".475",".379",".311","millspa01"
"374","Paul Pierce","SF",".535","14.8","piercpa01","https://www.basketball-reference.com/players/p/piercpa01.html",25,277,0.769,0.186,".086",".029",".129",".143",".614",".500","1.000",".556",".300",".349","piercpa01"
"375","Paul Zipser","SF",".503","14.4","zipsepa01","https://www.basketball-reference.com/players/z/zipsepa01.html",44,843,0.775,0.181,".222",".095",".050",".186",".448",".612",".333",".364",".341",".333","zipsepa01"
