"","Player","Pos","TS.","USG.","player.id","url","G","MP","FT%","ftr.16.17","perc.0.3","perc.3.10","perc.10.16","perc.16.3","perc.3","0.3.perc","3.10.perc","10.16.perc","16.3.perc","3.perc","player.ids.16.17"
"90","Damian Lillard","PG",".586","31.5","lillada01","https://www.basketball-reference.com/players/l/lillada01.html",75,2694,0.895,0.366,".269",".126",".080",".137",".388",".600",".335",".437",".451",".370","lillada01"
"91","Damjan Rudez","SF",".466","13.6","rudezda01","https://www.basketball-reference.com/players/r/rudezda01.html",45,314,NA,0,".045",".011",".045",".170",".727",".750",".000",".500",".400",".313","rudezda01"
"92","Daniel Ochefu","C",".430","18.0","ochefda01","https://www.basketball-reference.com/players/o/ochefda01.html",19,75,0,0.074,".630",".296",".037",".037",".000",".529",".375",".000",".000","","ochefda01"
"93","Danilo Gallinari","SF",".622","20.0","gallida01","https://www.basketball-reference.com/players/g/gallida01.html",63,2134,0.902,0.516,".208",".073",".097",".188",".432",".679",".382",".329",".411",".389","gallida01"
"94","Danny Green","SG",".537","13.5","greenda02","https://www.basketball-reference.com/players/g/greenda02.html",68,1807,0.844,0.071,".111",".071",".053",".071",".693",".540",".406",".208",".406",".379","greenda02"
"95","Dante Cunningham","SF",".586","10.7","cunnida01","https://www.basketball-reference.com/players/c/cunnida01.html",66,1649,0.593,0.075,".284",".084",".028",".100",".504",".676",".467",".300",".472",".392","cunnida01"
"96","Dante Exum","PG",".521","18.1","exumda01","https://www.basketball-reference.com/players/e/exumda01.html",66,1228,0.795,0.201,".435",".094",".033",".030",".410",".551",".471",".417",".273",".295","exumda01"
"97","Danuel House","SG","","0.0","houseda01","https://www.basketball-reference.com/players/h/houseda01.html",1,1,NA,NA,"","","","","","","","","","","houseda01"
"98","Dario Saric","PF",".508","24.6","saricda01","https://www.basketball-reference.com/players/s/saricda01.html",81,2129,0.782,0.237,".283",".146",".056",".149",".368",".599",".437",".404",".275",".311","saricda01"
"99","Darrell Arthur","PF",".583","17.3","arthuda01","https://www.basketball-reference.com/players/a/arthuda01.html",41,639,0.864,0.102,".140",".033",".079",".205",".544",".600",".000",".471",".364",".453","arthuda01"
"100","Darren Collison","PG",".570","19.8","collida01","https://www.basketball-reference.com/players/c/collida01.html",68,2063,0.86,0.239,".223",".150",".112",".272",".245",".597",".439",".450",".459",".417","collida01"
